Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Algoma (3557) 00000 (  5.4%),"Algoma (CD, ON)",71000,14200,35500,56800,85200,"<= $14,200","$14,200 - $35,500","$35,500 - $56,800","$56,800 - $85,200",">= $85,201",1775,355,887.5,1420,"$2,130",<= $355,$355 - $888,"$888 - $1,420","$1,420 - $2,130",">= $2,131"
"  Algoma, Unorganized, North Part NO (3557095) 00010 ( 13.9%)","Algoma, Unorganized, North Part NO (CSD, ON)",76000,15200,38000,60800,91200,"<= $15,200","$15,200 - $38,000","$38,000 - $60,800","$60,800 - $91,200",">= $91,201",1900,380,950,1520,"$2,280",<= $380,$380 - $950,"$950 - $1,520","$1,520 - $2,280",">= $2,281"
"  Algoma, Unorganized, South East Part NO (3557094) 09999 (  0.0%)","Algoma, Unorganized, South East Part NO (CSD, ON)",,,,,,,,,,,,,,,,,,,,
  Algonquin Highlands TP (3546018) 01020 ( 20.8%),"Algonquin Highlands TP (CSD, ON)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Alice Beach RV (4706065) 02929 ( 25.0%),"Alice Beach RV (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Alida VL (4701041) 00909 (  7.1%),"Alida VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Alix VL (4808034) 00000 (  6.0%),"Alix VL (CSD, AL)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,"$2,220",<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Allan T (4711072) 00000 (  4.3%),"Allan T (CSD, SK)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Alleyn-et-Cawood MÃ‰ (2484050) 02919 ( 19.4%),"Alleyn-et-Cawood MÉ (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Alliance VL (4807032) 00909 (  0.0%),"Alliance VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Alma V (2493042) 00000 (  2.8%),"Alma V (CSD, QC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,"$2,040",<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Alnwick/Haldimand TP (3514024) 00000 (  3.1%),"Alnwick/Haldimand TP (CSD, ON)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,"$3,060",<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
  Alonsa RM (4617026) 01010 ( 16.5%),"Alonsa RM (CSD, MB)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,"$1,728",<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
  Altona T (4603040) 00000 (  3.3%),"Altona T (CSD, MB)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,"$2,160",<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Alvena VL (4715038) 00909 (  0.0%),"Alvena VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Amaranth TP (3522008) 00000 (  2.6%),"Amaranth TP (CSD, ON)",123000,24600,61500,98400,147600,"<= $24,600","$24,600 - $61,500","$61,500 - $98,400","$98,400 - $147,600",">= $147,601",3075,615,1537.5,2460,"$3,690",<= $615,"$615 - $1,538","$1,538 - $2,460","$2,460 - $3,690",">= $3,691"
  Amherst CT (2478070) 01010 ( 12.7%),"Amherst CT (CSD, QC)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,"$1,608",<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Amherstburg T (3537028) 00000 (  2.4%),"Amherstburg T (CSD, ON)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,"$3,000",<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Amisk VL (4807008) 00909 (  9.1%),"Amisk VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Amos V (2488055) 00000 (  3.7%),"Amos V (CSD, QC)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,"$2,145",<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  Amqui V (2407047) 00000 (  2.9%),"Amqui V (CSD, QC)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,"$1,800",<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Andrew VL (4810059) 00010 ( 14.6%),"Andrew VL (CSD, AL)",56400,11280,28200,45120,67680,"<= $11,280","$11,280 - $28,200","$28,200 - $45,120","$45,120 - $67,680",">= $67,681",1410,282,705,1128,"$1,692",<= $282,$282 - $705,"$705 - $1,128","$1,128 - $1,692",">= $1,693"
