Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Les Moulins (2464) 00000 (  1.8%),"Les Moulins (CD, QC)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,"$2,820",<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
Les Pays-d'en-Haut (2477) 00000 (  5.1%),"Les Pays-d'en-Haut (CD, QC)",73000,14600,36500,58400,87600,"<= $14,600","$14,600 - $36,500","$36,500 - $58,400","$58,400 - $87,600",">= $87,601",1825,365,912.5,1460,"$2,190",<= $365,$365 - $913,"$913 - $1,460","$1,460 - $2,190",">= $2,191"
Les Sources (2440) 00000 (  5.0%),"Les Sources (CD, QC)",54400,10880,27200,43520,65280,"<= $10,880","$10,880 - $27,200","$27,200 - $43,520","$43,520 - $65,280",">= $65,281",1360,272,680,1088,"$1,632",<= $272,$272 - $680,"$680 - $1,088","$1,088 - $1,632",">= $1,633"
  Leslie Beach RV (4710035) 04959 ( 50.0%),"Leslie Beach RV (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Lesser Slave River No. 124 MD (4817033) 00010 ( 13.2%),"Lesser Slave River No. 124 MD (CSD, AL)",106000,21200,53000,84800,127200,"<= $21,200","$21,200 - $53,000","$53,000 - $84,800","$84,800 - $127,200",">= $127,201",2650,530,1325,2120,"$3,180",<= $530,"$530 - $1,325","$1,325 - $2,120","$2,120 - $3,180",">= $3,181"
  Lethbridge County MD (4802011) 00000 (  8.1%),"Lethbridge County MD (CSD, AL)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,"$3,000",<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Lethbridge CY (4802012) 00000 (  3.5%),"Lethbridge CY (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,"$2,460",<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
LÃ©vis (2425) 00000 (  2.1%),"Lévis (CD, QC)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Liberty VL (4711009) 00909 (  9.1%),"Liberty VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
L'ÃŽle-d'OrlÃ©ans (2420) 00000 (  4.7%),"L'Île-d'Orléans (CD, QC)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,"$2,730",<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Lillooet DM (5931026) 00030 ( 33.6%),"Lillooet DM (CSD, BC)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,"$2,010",<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Limerick TP (3512051) 01010 ( 18.0%),"Limerick TP (CSD, ON)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,"$1,608",<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Limerick VL (4703041) 00909 (  0.0%),"Limerick VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Lincoln T (3526057) 00000 (  2.2%),"Lincoln T (CSD, ON)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,"$3,060",<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
  Linden VL (4805046) 00000 (  2.7%),"Linden VL (CSD, AL)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,"$1,980",<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  Lingwick CT (2441085) 00000 (  7.8%),"Lingwick CT (CSD, QC)",49600,9920,24800,39680,59520,"<= $9,920","$9,920 - $24,800","$24,800 - $39,680","$39,680 - $59,520",">= $59,521",1240,248,620,992,"$1,488",<= $248,$248 - $620,$620 - $992,"$992 - $1,488",">= $1,489"
  Lintlaw VL (4709061) 00909 (  5.9%),"Lintlaw VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Linton NO (2434904) 09999 (100.0%),"Linton NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Lions Bay VL (5915065) 00000 (  8.9%),"Lions Bay VL (CSD, BC)",148000,29600,74000,118400,177600,"<= $29,600","$29,600 - $74,000","$74,000 - $118,400","$118,400 - $177,600",">= $177,601",3700,740,1850,2960,"$4,440",<= $740,"$740 - $1,850","$1,850 - $2,960","$2,960 - $4,440",">= $4,441"
  Lipton No. 217 RM (4706096) 00000 (  7.0%),"Lipton No. 217 RM (CSD, SK)",41600,8320,20800,33280,49920,"<= $8,320","$8,320 - $20,800","$20,800 - $33,280","$33,280 - $49,920",">= $49,921",1040,208,520,832,"$1,248",<= $208,$208 - $520,$520 - $832,"$832 - $1,248",">= $1,249"
  Lipton VL (4706098) 00000 (  0.0%),"Lipton VL (CSD, SK)",54800,10960,27400,43840,65760,"<= $10,960","$10,960 - $27,400","$27,400 - $43,840","$43,840 - $65,760",">= $65,761",1370,274,685,1096,"$1,644",<= $274,$274 - $685,"$685 - $1,096","$1,096 - $1,644",">= $1,645"
  L'Isle-aux-Allumettes MÃ‰ (2484082) 00000 (  8.1%),"L'Isle-aux-Allumettes MÉ (CSD, QC)",71000,14200,35500,56800,85200,"<= $14,200","$14,200 - $35,500","$35,500 - $56,800","$56,800 - $85,200",">= $85,201",1775,355,887.5,1420,"$2,130",<= $355,$355 - $888,"$888 - $1,420","$1,420 - $2,130",">= $2,131"
  L'Isle-aux-Coudres MÃ‰ (2416023) 00000 (  6.7%),"L'Isle-aux-Coudres MÉ (CSD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,"$1,920",<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
L'Islet (2417) 00000 (  3.4%),"L'Islet (CD, QC)",61200,12240,30600,48960,73440,"<= $12,240","$12,240 - $30,600","$30,600 - $48,960","$48,960 - $73,440",">= $73,441",1530,306,765,1224,"$1,836",<= $306,$306 - $765,"$765 - $1,224","$1,224 - $1,836",">= $1,837"
  L'Islet MÃ‰ (2417078) 00000 (  4.5%),"L'Islet MÉ (CSD, QC)",62800,12560,31400,50240,75360,"<= $12,560","$12,560 - $31,400","$31,400 - $50,240","$50,240 - $75,360",">= $75,361",1570,314,785,1256,"$1,884",<= $314,$314 - $785,"$785 - $1,256","$1,256 - $1,884",">= $1,885"
  L'Isle-Verte MÃ‰ (2412043) 00000 (  2.4%),"L'Isle-Verte MÉ (CSD, QC)",54000,10800,27000,43200,64800,"<= $10,800","$10,800 - $27,000","$27,000 - $43,200","$43,200 - $64,800",">= $64,801",1350,270,675,1080,"$1,620",<= $270,$270 - $675,"$675 - $1,080","$1,080 - $1,620",">= $1,621"
  Litchfield MÃ‰ (2484040) 01010 ( 10.6%),"Litchfield MÉ (CSD, QC)",69000,13800,34500,55200,82800,"<= $13,800","$13,800 - $34,500","$34,500 - $55,200","$55,200 - $82,800",">= $82,801",1725,345,862.5,1380,"$2,070",<= $345,$345 - $863,"$863 - $1,380","$1,380 - $2,070",">= $2,071"
  Livingston No. 331 RM (4709075) 00010 ( 11.4%),"Livingston No. 331 RM (CSD, SK)",48000,9600,24000,38400,57600,"<= $9,600","$9,600 - $24,000","$24,000 - $38,400","$38,400 - $57,600",">= $57,601",1200,240,600,960,"$1,440",<= $240,$240 - $600,$600 - $960,"$960 - $1,440",">= $1,441"
  Lloydminster (Part) CY (4810039) 00000 (  5.9%),"Lloydminster (CSD, AL)",98000,19600,49000,78400,117600,"<= $19,600","$19,600 - $49,000","$49,000 - $78,400","$78,400 - $117,600",">= $117,601",2450,490,1225,1960,"$2,940",<= $490,"$490 - $1,225","$1,225 - $1,960","$1,960 - $2,940",">= $2,941"
  Lloydminster (Part) CY (4717029) 00000 (  6.1%),"Lloydminster (CSD, SK)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Lochaber CT (2480055) 00010 ( 13.0%),"Lochaber CT (CSD, QC)",77000,15400,38500,61600,92400,"<= $15,400","$15,400 - $38,500","$38,500 - $61,600","$61,600 - $92,400",">= $92,401",1925,385,962.5,1540,"$2,310",<= $385,$385 - $963,"$963 - $1,540","$1,540 - $2,310",">= $2,311"
  Lochaber-Partie-Ouest CT (2480060) 00000 (  3.5%),"Lochaber-Partie-Ouest CT (CSD, QC)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Logan Lake DM (5933035) 00000 (  5.7%),"Logan Lake DM (CSD, BC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,"$2,040",<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Lomond No. 37 RM (4702033) 00000 (  0.0%),"Lomond No. 37 RM (CSD, SK)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,"$1,776",<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  Lomond VL (4805008) 00909 (  5.0%),"Lomond VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  London CY (3539036) 00000 (  3.3%),"London CY (CSD, ON)",77000,15400,38500,61600,92400,"<= $15,400","$15,400 - $38,500","$38,500 - $61,600","$61,600 - $92,400",">= $92,401",1925,385,962.5,1540,"$2,310",<= $385,$385 - $963,"$963 - $1,540","$1,540 - $2,310",">= $2,311"
  Lone Tree No. 18 RM (4704006) 00929 ( 20.0%),"Lone Tree No. 18 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Longlaketon No. 219 RM (4706070) 00010 ( 15.4%),"Longlaketon No. 219 RM (CSD, SK)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,"$3,060",<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
  Longue-Pointe-de-Mingan MÃ‰ (2498045) 00010 ( 15.6%),"Longue-Pointe-de-Mingan MÉ (CSD, QC)",93000,18600,46500,74400,111600,"<= $18,600","$18,600 - $46,500","$46,500 - $74,400","$74,400 - $111,600",">= $111,601",2325,465,1162.5,1860,"$2,790",<= $465,"$465 - $1,163","$1,163 - $1,860","$1,860 - $2,790",">= $2,791"
  Longue-Rive MÃ‰ (2495032) 00000 (  6.6%),"Longue-Rive MÉ (CSD, QC)",49600,9920,24800,39680,59520,"<= $9,920","$9,920 - $24,800","$24,800 - $39,680","$39,680 - $59,520",">= $59,521",1240,248,620,992,"$1,488",<= $248,$248 - $620,$620 - $992,"$992 - $1,488",">= $1,489"
Longueuil (2458) 00000 (  2.7%),"Longueuil (CD, QC)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,"$2,385",<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Longueuil V (2458227) 00000 (  3.2%),"Longueuil V (CSD, QC)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,"$2,160",<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Longview VL (4806008) 00000 (  0.8%),"Longview VL (CSD, AL)",69000,13800,34500,55200,82800,"<= $13,800","$13,800 - $34,500","$34,500 - $55,200","$55,200 - $82,800",">= $82,801",1725,345,862.5,1380,"$2,070",<= $345,$345 - $863,"$863 - $1,380","$1,380 - $2,070",">= $2,071"
  Loon Lake No. 561 RM (4717056) 01010 ( 14.9%),"Loon Lake No. 561 RM (CSD, SK)",62800,12560,31400,50240,75360,"<= $12,560","$12,560 - $31,400","$31,400 - $50,240","$50,240 - $75,360",">= $75,361",1570,314,785,1256,"$1,884",<= $314,$314 - $785,"$785 - $1,256","$1,256 - $1,884",">= $1,885"
  Loon Lake VL (4717058) 00000 (  6.5%),"Loon Lake VL (CSD, SK)",42800,8560,21400,34240,51360,"<= $8,560","$8,560 - $21,400","$21,400 - $34,240","$34,240 - $51,360",">= $51,361",1070,214,535,856,"$1,284",<= $214,$214 - $535,$535 - $856,"$856 - $1,284",">= $1,285"
  Loreburn No. 254 RM (4711018) 00000 (  8.3%),"Loreburn No. 254 RM (CSD, SK)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Loreburn VL (4711021) 00919 ( 13.3%),"Loreburn VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Lorne MU (4604064) 00000 (  3.3%),"Lorne MU (CSD, MB)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,"$2,265",<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Lorraine V (2473025) 00000 (  1.3%),"Lorraine V (CSD, QC)",129000,25800,64500,103200,154800,"<= $25,800","$25,800 - $64,500","$64,500 - $103,200","$103,200 - $154,800",">= $154,801",3225,645,1612.5,2580,"$3,870",<= $645,"$645 - $1,613","$1,613 - $2,580","$2,580 - $3,870",">= $3,871"
  Lorrainville MÃ‰ (2485037) 00000 (  3.5%),"Lorrainville MÉ (CSD, QC)",69500,13900,34750,55600,83400,"<= $13,900","$13,900 - $34,750","$34,750 - $55,600","$55,600 - $83,400",">= $83,401",1737.5,347.5,868.75,1390,"$2,085",<= $348,$348 - $869,"$869 - $1,390","$1,390 - $2,085",">= $2,086"
  Lost River No. 313 RM (4711059) 00909 (  6.3%),"Lost River No. 313 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  LotbiniÃ¨re MÃ‰ (2433115) 00000 (  3.9%),"Lotbinière MÉ (CSD, QC)",54000,10800,27000,43200,64800,"<= $10,800","$10,800 - $27,000","$27,000 - $43,200","$43,200 - $64,800",">= $64,801",1350,270,675,1080,"$1,620",<= $270,$270 - $675,"$675 - $1,080","$1,080 - $1,620",">= $1,621"
LotbiniÃ¨re (2433) 00000 (  3.2%),"Lotbinière (CD, QC)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,"$2,220",<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Lougheed VL (4807046) 00909 (  0.0%),"Lougheed VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Louise MU (4604040) 00000 (  9.2%),"Louise MU (CSD, MB)",61600,12320,30800,49280,73920,"<= $12,320","$12,320 - $30,800","$30,800 - $49,280","$49,280 - $73,920",">= $73,921",1540,308,770,1232,"$1,848",<= $308,$308 - $770,"$770 - $1,232","$1,232 - $1,848",">= $1,849"
  Louiseville V (2451015) 00000 (  3.1%),"Louiseville V (CSD, QC)",48000,9600,24000,38400,57600,"<= $9,600","$9,600 - $24,000","$24,000 - $38,400","$38,400 - $57,600",">= $57,601",1200,240,600,960,"$1,440",<= $240,$240 - $600,$600 - $960,"$960 - $1,440",">= $1,441"
  Love VL (4714091) 01919 ( 16.7%),"Love VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Low CT (2483010) 01010 ( 16.1%),"Low CT (CSD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,800 - $32,000","$32,000 - $51,200","$51,200 - $76,800",">= $76,801",1600,320,800,1280,"$1,920",<= $320,$320 - $800,"$800 - $1,280","$1,280 - $1,920",">= $1,921"
  Loyalist TP (3511005) 00000 (  2.9%),"Loyalist TP (CSD, ON)",95000,19000,47500,76000,114000,"<= $19,000","$19,000 - $47,500","$47,500 - $76,000","$76,000 - $114,000",">= $114,001",2375,475,1187.5,1900,"$2,850",<= $475,"$475 - $1,188","$1,188 - $1,900","$1,900 - $2,850",">= $2,851"
  Lucan Biddulph TP (3539060) 00000 (  0.8%),"Lucan Biddulph TP (CSD, ON)",105000,21000,52500,84000,126000,"<= $21,000","$21,000 - $52,500","$52,500 - $84,000","$84,000 - $126,000",">= $126,001",2625,525,1312.5,2100,"$3,150",<= $525,"$525 - $1,313","$1,313 - $2,100","$2,100 - $3,150",">= $3,151"
  Lucky Lake VL (4707059) 00009 (  7.1%),"Lucky Lake VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Lumby VL (5937005) 00000 (  2.4%),"Lumby VL (CSD, BC)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,"$2,295",<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Lumsden Beach RV (4706057) 04929 ( 28.6%),"Lumsden Beach RV (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Lumsden No. 189 RM (4706053) 00000 (  5.6%),"Lumsden No. 189 RM (CSD, SK)",137000,27400,68500,109600,164400,"<= $27,400","$27,400 - $68,500","$68,500 - $109,600","$109,600 - $164,400",">= $164,401",3425,685,1712.5,2740,"$4,110",<= $685,"$685 - $1,713","$1,713 - $2,740","$2,740 - $4,110",">= $4,111"
  Lumsden T (4706056) 00000 (  2.7%),"Lumsden T (CSD, SK)",105000,21000,52500,84000,126000,"<= $21,000","$21,000 - $52,500","$52,500 - $84,000","$84,000 - $126,000",">= $126,001",2625,525,1312.5,2100,"$3,150",<= $525,"$525 - $1,313","$1,313 - $2,100","$2,100 - $3,150",">= $3,151"
Lunenburg (1206) 00000 (  5.0%),"Lunenburg (CD, NS)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,"$1,965",<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Luseland T (4713044) 00000 (  4.4%),"Luseland T (CSD, SK)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,"$2,220",<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Lynn Lake T (4623047) 00010 ( 10.6%),"Lynn Lake T (CSD, MB)",73000,14600,36500,58400,87600,"<= $14,600","$14,600 - $36,500","$36,500 - $58,400","$58,400 - $87,600",">= $87,601",1825,365,912.5,1460,"$2,190",<= $365,$365 - $913,"$913 - $1,460","$1,460 - $2,190",">= $2,191"
  Lyster MÃ‰ (2432065) 00000 (  6.9%),"Lyster MÉ (CSD, QC)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,"$1,800",<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Lytton VL (5933015) 01929 ( 29.2%),"Lytton VL (CSD, BC)",,,,,,,,,,,,,,,,,,,,
  MÃ©tabetchouan--Lac-Ã -la-Croix V (2493012) 00000 (  4.6%),"Métabetchouan--Lac-à-la-Croix V (CSD, QC)",66500,13300,33250,53200,79800,"<= $13,300","$13,300 - $33,250","$33,250 - $53,200","$53,200 - $79,800",">= $79,801",1662.5,332.5,831.25,1330,"$1,995",<= $333,$333 - $831,"$831 - $1,330","$1,330 - $1,995",">= $1,996"
  MÃ©tis-sur-Mer V (2409048) 00000 (  8.0%),"Métis-sur-Mer V (CSD, QC)",51200,10240,25600,40960,61440,"<= $10,240","$10,240 - $25,600","$25,600 - $40,960","$40,960 - $61,440",">= $61,441",1280,256,640,1024,"$1,536",<= $256,$256 - $640,"$640 - $1,024","$1,024 - $1,536",">= $1,537"
  Macamic V (2487058) 00000 (  1.4%),"Macamic V (CSD, QC)",70500,14100,35250,56400,84600,"<= $14,100","$14,100 - $35,250","$35,250 - $56,400","$56,400 - $84,600",">= $84,601",1762.5,352.5,881.25,1410,"$2,115",<= $353,$353 - $881,"$881 - $1,410","$1,410 - $2,115",">= $2,116"
  Macdonald RM (4610035) 00000 (  3.2%),"Macdonald RM (CSD, MB)",136000,27200,68000,108800,163200,"<= $27,200","$27,200 - $68,000","$68,000 - $108,800","$108,800 - $163,200",">= $163,201",3400,680,1700,2720,"$4,080",<= $680,"$680 - $1,700","$1,700 - $2,720","$2,720 - $4,080",">= $4,081"
"  Macdonald, Meredith and Aberdeen Additional TP (3557051) 00000 (  6.6%)","Macdonald, Meredith and Aberdeen Additional TP (CSD, ON)",97000,19400,48500,77600,116400,"<= $19,400","$19,400 - $48,500","$48,500 - $77,600","$77,600 - $116,400",">= $116,401",2425,485,1212.5,1940,"$2,910",<= $485,"$485 - $1,213","$1,213 - $1,940","$1,940 - $2,910",">= $2,911"
  Machar TP (3549054) 01010 ( 12.0%),"Machar TP (CSD, ON)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,"$2,040",<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Machin MU (3560021) 00000 (  5.9%),"Machin MU (CSD, ON)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,"$2,460",<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Mackenzie County SM (4817095) 00010 ( 13.2%),"Mackenzie County SM (CSD, AL)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,"$2,700",<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
  Mackenzie DM (5953033) 00000 (  9.7%),"Mackenzie DM (CSD, BC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,"$2,610",<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Macklin T (4713051) 00000 (  3.3%),"Macklin T (CSD, SK)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,"$2,460",<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  MacNutt VL (4705096) 00999 ( 40.0%),"MacNutt VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Macoun VL (4702041) 00000 (  3.8%),"Macoun VL (CSD, SK)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,"$2,385",<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Macrorie VL (4712019) 00919 ( 10.0%),"Macrorie VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Madawaska (1313) 00000 (  2.5%),"Madawaska (CD, NB)",62800,12560,31400,50240,75360,"<= $12,560","$12,560 - $31,400","$31,400 - $50,240","$50,240 - $75,360",">= $75,361",1570,314,785,1256,"$1,884",<= $314,$314 - $785,"$785 - $1,256","$1,256 - $1,884",">= $1,885"
  Madawaska Valley TP (3547030) 00000 (  7.7%),"Madawaska Valley TP (CSD, ON)",63600,12720,31800,50880,76320,"<= $12,720","$12,720 - $31,800","$31,800 - $50,880","$50,880 - $76,320",">= $76,321",1590,318,795,1272,"$1,908",<= $318,$318 - $795,"$795 - $1,272","$1,272 - $1,908",">= $1,909"
  Maddington Falls MÃ‰ (2439165) 00000 (  0.0%),"Maddington Falls MÉ (CSD, QC)",55600,11120,27800,44480,66720,"<= $11,120","$11,120 - $27,800","$27,800 - $44,480","$44,480 - $66,720",">= $66,721",1390,278,695,1112,"$1,668",<= $278,$278 - $695,"$695 - $1,112","$1,112 - $1,668",">= $1,669"
  Madoc TP (3512036) 00000 (  3.4%),"Madoc TP (CSD, ON)",76000,15200,38000,60800,91200,"<= $15,200","$15,200 - $38,000","$38,000 - $60,800","$60,800 - $91,200",">= $91,201",1900,380,950,1520,"$2,280",<= $380,$380 - $950,"$950 - $1,520","$1,520 - $2,280",">= $2,281"
  Magnetawan MU (3549043) 01010 ( 15.9%),"Magnetawan MU (CSD, ON)",61200,12240,30600,48960,73440,"<= $12,240","$12,240 - $30,600","$30,600 - $48,960","$48,960 - $73,440",">= $73,441",1530,306,765,1224,"$1,836",<= $306,$306 - $765,"$765 - $1,224","$1,224 - $1,836",">= $1,837"
  Magog V (2445072) 00000 (  3.7%),"Magog V (CSD, QC)",62400,12480,31200,49920,74880,"<= $12,480","$12,480 - $31,200","$31,200 - $49,920","$49,920 - $74,880",">= $74,881",1560,312,780,1248,"$1,872",<= $312,$312 - $780,"$780 - $1,248","$1,248 - $1,872",">= $1,873"
  Magrath T (4803002) 00000 (  5.5%),"Magrath T (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,"$2,460",<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Maidstone T (4717018) 00000 (  4.2%),"Maidstone T (CSD, SK)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Major VL (4713021) 09999 ( 16.7%),"Major VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Makwa VL (4717057) 00909 (  0.0%),"Makwa VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
