Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
"Division No. 7, Subd. G SNO (1007024) 00000 ( 9.5%)","Division No. 7, Subd. G SNO (CSD, NL)",52400,10480,26200,41920,62880,"<= $10,480","$10,481 - $26,200","$26,201 - $41,920","$41,921 - $62,880",">= $62,881",1310,262,655,1048,1572,<= $262,$263 - $655,"$656 - $1,048","$1,049 - $1,572",">= $1,573"
"Division No. 7, Subd. F SNO (1007028) 00001 ( 8.4%)","Division No. 7, Subd. F SNO (CSD, NL)",37600,7520,18800,30080,45120,"<= $7,520","$7,521 - $18,800","$18,801 - $30,080","$30,081 - $45,120",">= $45,121",940,188,470,752,1128,<= $188,$189 - $470,$471 - $752,"$753 - $1,128",">= $1,129"
"Division No. 7, Subd. E SNO (1007031) 00000 ( 9.1%)","Division No. 7, Subd. E SNO (CSD, NL)",54400,10880,27200,43520,65280,"<= $10,880","$10,881 - $27,200","$27,201 - $43,520","$43,521 - $65,280",">= $65,281",1360,272,680,1088,1632,<= $272,$273 - $680,"$681 - $1,088","$1,089 - $1,632",">= $1,633"
Musgravetown T (1007032) 00000 ( 6.3%),"Musgravetown T (CSD, NL)",65500,13100,32750,52400,78600,"<= $13,100","$13,101 - $32,750","$32,751 - $52,400","$52,401 - $78,600",">= $78,601",1638,328,819,1310,1965,<= $328,$329 - $819,"$820 - $1,310","$1,311 - $1,965",">= $1,966"
Port Blandford T (1007036) 00011 ( 12.2%),"Port Blandford T (CSD, NL)",71500,14300,35750,57200,85800,"<= $14,300","$14,301 - $35,750","$35,751 - $57,200","$57,201 - $85,800",">= $85,801",1788,358,894,1430,2145,<= $358,$359 - $894,"$895 - $1,430","$1,431 - $2,145",">= $2,146"
Traytown T (1007037) 00000 ( 4.0%),"Traytown T (CSD, NL)",56400,11280,28200,45120,67680,"<= $11,280","$11,281 - $28,200","$28,201 - $45,120","$45,121 - $67,680",">= $67,681",1410,282,705,1128,1692,<= $282,$283 - $705,"$706 - $1,128","$1,129 - $1,692",">= $1,693"
Eastport T (1007042) 00000 ( 6.5%),"Eastport T (CSD, NL)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
Glovertown T (1007044) 00000 ( 4.2%),"Glovertown T (CSD, NL)",65000,13000,32500,52000,78000,"<= $13,000","$13,001 - $32,500","$32,501 - $52,000","$52,001 - $78,000",">= $78,001",1625,325,813,1300,1950,<= $325,$326 - $813,"$814 - $1,300","$1,301 - $1,950",">= $1,951"
Gambo T (1007047) 00000 ( 6.0%),"Gambo T (CSD, NL)",56800,11360,28400,45440,68160,"<= $11,360","$11,361 - $28,400","$28,401 - $45,440","$45,441 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$285 - $710,"$711 - $1,136","$1,137 - $1,704",">= $1,705"
Hare Bay T (1007049) 00000 ( 7.8%),"Hare Bay T (CSD, NL)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
Centreville-Wareham-Trinity T (1007050) 00000 ( 5.5%),"Centreville-Wareham-Trinity T (CSD, NL)",47600,9520,23800,38080,57120,"<= $9,520","$9,521 - $23,800","$23,801 - $38,080","$38,081 - $57,120",">= $57,121",1190,238,595,952,1428,<= $238,$239 - $595,$596 - $952,"$953 - $1,428",">= $1,429"
Greenspond T (1007054) 00010 ( 10.3%),"Greenspond T (CSD, NL)",62800,12560,31400,50240,75360,"<= $12,560","$12,561 - $31,400","$31,401 - $50,240","$50,241 - $75,360",">= $75,361",1570,314,785,1256,1884,<= $314,$315 - $785,"$786 - $1,256","$1,257 - $1,884",">= $1,885"
Dover T (1007057) 00011 ( 11.4%),"Dover T (CSD, NL)",61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
New-Wes-Valley T (1007060) 00000 ( 6.7%),"New-Wes-Valley T (CSD, NL)",66000,13200,33000,52800,79200,"<= $13,200","$13,201 - $33,000","$33,001 - $52,800","$52,801 - $79,200",">= $79,201",1650,330,825,1320,1980,<= $330,$331 - $825,"$826 - $1,320","$1,321 - $1,980",">= $1,981"
Lumsden T (1008004) 00000 ( 6.9%),"Lumsden T (CSD, NL)",70000,14000,35000,56000,84000,"<= $14,000","$14,001 - $35,000","$35,001 - $56,000","$56,001 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$351 - $875,"$876 - $1,400","$1,401 - $2,100",">= $2,101"
Musgrave Harbour T (1008006) 00000 ( 5.4%),"Musgrave Harbour T (CSD, NL)",54000,10800,27000,43200,64800,"<= $10,800","$10,801 - $27,000","$27,001 - $43,200","$43,201 - $64,800",">= $64,801",1350,270,675,1080,1620,<= $270,$271 - $675,"$676 - $1,080","$1,081 - $1,620",">= $1,621"
"Division No. 8, Subd. L SNO (1008008) 00000 ( 6.9%)","Division No. 8, Subd. L SNO (CSD, NL)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
Carmanville T (1008011) 00000 ( 5.6%),"Carmanville T (CSD, NL)",48400,9680,24200,38720,58080,"<= $9,680","$9,681 - $24,200","$24,201 - $38,720","$38,721 - $58,080",">= $58,081",1210,242,605,968,1452,<= $242,$243 - $605,$606 - $968,"$969 - $1,452",">= $1,453"
"Division No. 8, Subd. H SNO (1008031) 00000 ( 6.3%)","Division No. 8, Subd. H SNO (CSD, NL)",39200,7840,19600,31360,47040,"<= $7,840","$7,841 - $19,600","$19,601 - $31,360","$31,361 - $47,040",">= $47,041",980,196,490,784,1176,<= $196,$197 - $490,$491 - $784,"$785 - $1,176",">= $1,177"
Summerford T (1008033) 00000 ( 4.7%),"Summerford T (CSD, NL)",52400,10480,26200,41920,62880,"<= $10,480","$10,481 - $26,200","$26,201 - $41,920","$41,921 - $62,880",">= $62,881",1310,262,655,1048,1572,<= $262,$263 - $655,"$656 - $1,048","$1,049 - $1,572",">= $1,573"
Twillingate T (1008035) 00000 ( 7.8%),"Twillingate T (CSD, NL)",46800,9360,23400,37440,56160,"<= $9,360","$9,361 - $23,400","$23,401 - $37,440","$37,441 - $56,160",">= $56,161",1170,234,585,936,1404,<= $234,$235 - $585,$586 - $936,"$937 - $1,404",">= $1,405"
"Division No. 8, Subd. G SNO (1008036) 00000 ( 9.4%)","Division No. 8, Subd. G SNO (CSD, NL)",38400,7680,19200,30720,46080,"<= $7,680","$7,681 - $19,200","$19,201 - $30,720","$30,721 - $46,080",">= $46,081",960,192,480,768,1152,<= $192,$193 - $480,$481 - $768,"$769 - $1,152",">= $1,153"
Campbellton T (1008037) 00000 ( 7.3%),"Campbellton T (CSD, NL)",50000,10000,25000,40000,60000,"<= $10,000","$10,001 - $25,000","$25,001 - $40,000","$40,001 - $60,000",">= $60,001",1250,250,625,1000,1500,<= $250,$251 - $625,"$626 - $1,000","$1,001 - $1,500",">= $1,501"
Birchy Bay T (1008038) 00011 ( 18.4%),"Birchy Bay T (CSD, NL)",57200,11440,28600,45760,68640,"<= $11,440","$11,441 - $28,600","$28,601 - $45,760","$45,761 - $68,640",">= $68,641",1430,286,715,1144,1716,<= $286,$287 - $715,"$716 - $1,144","$1,145 - $1,716",">= $1,717"
Comfort Cove-Newstead T (1008039) 00000 ( 4.3%),"Comfort Cove-Newstead T (CSD, NL)",50800,10160,25400,40640,60960,"<= $10,160","$10,161 - $25,400","$25,401 - $40,640","$40,641 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$255 - $635,"$636 - $1,016","$1,017 - $1,524",">= $1,525"
Baytona T (1008040) 00000 ( 3.9%),"Baytona T (CSD, NL)",75500,15100,37750,60400,90600,"<= $15,100","$15,101 - $37,750","$37,751 - $60,400","$60,401 - $90,600",">= $90,601",1888,378,944,1510,2265,<= $378,$379 - $944,"$945 - $1,510","$1,511 - $2,265",">= $2,266"
"Division No. 8, Subd. F SNO (1008042) 00000 ( 5.2%)","Division No. 8, Subd. F SNO (CSD, NL)",48000,9600,24000,38400,57600,"<= $9,600","$9,601 - $24,000","$24,001 - $38,400","$38,401 - $57,600",">= $57,601",1200,240,600,960,1440,<= $240,$241 - $600,$601 - $960,"$961 - $1,440",">= $1,441"
Embree T (1008043) 00000 ( 5.6%),"Embree T (CSD, NL)",49600,9920,24800,39680,59520,"<= $9,920","$9,921 - $24,800","$24,801 - $39,680","$39,681 - $59,520",">= $59,521",1240,248,620,992,1488,<= $248,$249 - $620,$621 - $992,"$993 - $1,488",">= $1,489"
Lewisporte T (1008044) 00000 ( 4.9%),"Lewisporte T (CSD, NL)",52800,10560,26400,42240,63360,"<= $10,560","$10,561 - $26,400","$26,401 - $42,240","$42,241 - $63,360",">= $63,361",1320,264,660,1056,1584,<= $264,$265 - $660,"$661 - $1,056","$1,057 - $1,584",">= $1,585"
"Division No. 8, Subd. E SNO (1008046) 00001 ( 7.6%)","Division No. 8, Subd. E SNO (CSD, NL)",44000,8800,22000,35200,52800,"<= $8,800","$8,801 - $22,000","$22,001 - $35,200","$35,201 - $52,800",">= $52,801",1100,220,550,880,1320,<= $220,$221 - $550,$551 - $880,"$881 - $1,320",">= $1,321"
Leading Tickles T (1008048) 00000 ( 1.7%),"Leading Tickles T (CSD, NL)",49600,9920,24800,39680,59520,"<= $9,920","$9,921 - $24,800","$24,801 - $39,680","$39,681 - $59,520",">= $59,521",1240,248,620,992,1488,<= $248,$249 - $620,$621 - $992,"$993 - $1,488",">= $1,489"
Point Leamington T (1008049) 00000 ( 4.2%),"Point Leamington T (CSD, NL)",47600,9520,23800,38080,57120,"<= $9,520","$9,521 - $23,800","$23,801 - $38,080","$38,081 - $57,120",">= $57,121",1190,238,595,952,1428,<= $238,$239 - $595,$596 - $952,"$953 - $1,428",">= $1,429"
Pilley's Island T (1008053) 00000 ( 6.6%),"Pilley's Island T (CSD, NL)",51600,10320,25800,41280,61920,"<= $10,320","$10,321 - $25,800","$25,801 - $41,280","$41,281 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$259 - $645,"$646 - $1,032","$1,033 - $1,548",">= $1,549"
Triton T (1008054) 00000 ( 8.0%),"Triton T (CSD, NL)",62400,12480,31200,49920,74880,"<= $12,480","$12,481 - $31,200","$31,201 - $49,920","$49,921 - $74,880",">= $74,881",1560,312,780,1248,1872,<= $312,$313 - $780,"$781 - $1,248","$1,249 - $1,872",">= $1,873"
"Division No. 8, Subd. C SNO (1008058) 00000 ( 4.6%)","Division No. 8, Subd. C SNO (CSD, NL)",46400,9280,23200,37120,55680,"<= $9,280","$9,281 - $23,200","$23,201 - $37,120","$37,121 - $55,680",">= $55,681",1160,232,580,928,1392,<= $232,$233 - $580,$581 - $928,"$929 - $1,392",">= $1,393"
South Brook T (1008059) 00000 ( 5.7%),"South Brook T (CSD, NL)",56400,11280,28200,45120,67680,"<= $11,280","$11,281 - $28,200","$28,201 - $45,120","$45,121 - $67,680",">= $67,681",1410,282,705,1128,1692,<= $282,$283 - $705,"$706 - $1,128","$1,129 - $1,692",">= $1,693"
Robert's Arm T (1008060) 00000 ( 6.3%),"Robert's Arm T (CSD, NL)",53200,10640,26600,42560,63840,"<= $10,640","$10,641 - $26,600","$26,601 - $42,560","$42,561 - $63,840",">= $63,841",1330,266,665,1064,1596,<= $266,$267 - $665,"$666 - $1,064","$1,065 - $1,596",">= $1,597"
Springdale T (1008061) 00000 ( 9.5%),"Springdale T (CSD, NL)",49200,9840,24600,39360,59040,"<= $9,840","$9,841 - $24,600","$24,601 - $39,360","$39,361 - $59,040",">= $59,041",1230,246,615,984,1476,<= $246,$247 - $615,$616 - $984,"$985 - $1,476",">= $1,477"
"Division No. 8, Subd. P SNO (1008065) 00000 ( 7.1%)","Division No. 8, Subd. P SNO (CSD, NL)",39200,7840,19600,31360,47040,"<= $7,840","$7,841 - $19,600","$19,601 - $31,360","$31,361 - $47,040",">= $47,041",980,196,490,784,1176,<= $196,$197 - $490,$491 - $784,"$785 - $1,176",">= $1,177"
"Division No. 8, Subd. O SNO (1008067) 00000 ( 5.3%)","Division No. 8, Subd. O SNO (CSD, NL)",57200,11440,28600,45760,68640,"<= $11,440","$11,441 - $28,600","$28,601 - $45,760","$45,761 - $68,640",">= $68,641",1430,286,715,1144,1716,<= $286,$287 - $715,"$716 - $1,144","$1,145 - $1,716",">= $1,717"
King's Point T (1008069) 00000 ( 1.7%),"King's Point T (CSD, NL)",67000,13400,33500,53600,80400,"<= $13,400","$13,401 - $33,500","$33,501 - $53,600","$53,601 - $80,400",">= $80,401",1675,335,838,1340,2010,<= $335,$336 - $838,"$839 - $1,340","$1,341 - $2,010",">= $2,011"
Burlington T (1008071) 00000 ( 3.1%),"Burlington T (CSD, NL)",48800,9760,24400,39040,58560,"<= $9,760","$9,761 - $24,400","$24,401 - $39,040","$39,041 - $58,560",">= $58,561",1220,244,610,976,1464,<= $244,$245 - $610,$611 - $976,"$977 - $1,464",">= $1,465"
Middle Arm T (1008072) 00000 ( 8.1%),"Middle Arm T (CSD, NL)",60400,12080,30200,48320,72480,"<= $12,080","$12,081 - $30,200","$30,201 - $48,320","$48,321 - $72,480",">= $72,481",1510,302,755,1208,1812,<= $302,$303 - $755,"$756 - $1,208","$1,209 - $1,812",">= $1,813"
LaScie T (1008076) 00000 ( 4.1%),"LaScie T (CSD, NL)",60400,12080,30200,48320,72480,"<= $12,080","$12,081 - $30,200","$30,201 - $48,320","$48,321 - $72,480",">= $72,481",1510,302,755,1208,1812,<= $302,$303 - $755,"$756 - $1,208","$1,209 - $1,812",">= $1,813"
Baie Verte T (1008079) 00000 ( 6.9%),"Baie Verte T (CSD, NL)",59200,11840,29600,47360,71040,"<= $11,840","$11,841 - $29,600","$29,601 - $47,360","$47,361 - $71,040",">= $71,041",1480,296,740,1184,1776,<= $296,$297 - $740,"$741 - $1,184","$1,185 - $1,776",">= $1,777"
Seal Cove (White Bay) T (1008091) 00011 ( 12.4%),"Seal Cove (CSD, NL)",62000,12400,31000,49600,74400,"<= $12,400","$12,401 - $31,000","$31,001 - $49,600","$49,601 - $74,400",">= $74,401",1550,310,775,1240,1860,<= $310,$311 - $775,"$776 - $1,240","$1,241 - $1,860",">= $1,861"
Ming's Bight T (1008095) 00010 ( 10.7%),"Ming's Bight T (CSD, NL)",94000,18800,47000,75200,112800,"<= $18,800","$18,801 - $47,000","$47,001 - $75,200","$75,201 - $112,800",">= $112,801",2350,470,1175,1880,2820,<= $470,"$471 - $1,175","$1,176 - $1,880","$1,881 - $2,820",">= $2,821"
Fogo Island T (1008099) 00000 ( 8.6%),"Fogo Island T (CSD, NL)",55600,11120,27800,44480,66720,"<= $11,120","$11,121 - $27,800","$27,801 - $44,480","$44,481 - $66,720",">= $66,721",1390,278,695,1112,1668,<= $278,$279 - $695,"$696 - $1,112","$1,113 - $1,668",">= $1,669"
Englee T (1009004) 00000 ( 9.1%),"Englee T (CSD, NL)",52400,10480,26200,41920,62880,"<= $10,480","$10,481 - $26,200","$26,201 - $41,920","$41,921 - $62,880",">= $62,881",1310,262,655,1048,1572,<= $262,$263 - $655,"$656 - $1,048","$1,049 - $1,572",">= $1,573"
Roddickton-Bide Arm T (1009007) 00010 ( 11.4%),"Roddickton-Bide Arm T (CSD, NL)",59600,11920,29800,47680,71520,"<= $11,920","$11,921 - $29,800","$29,801 - $47,680","$47,681 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$299 - $745,"$746 - $1,192","$1,193 - $1,788",">= $1,789"
Trout River T (1009010) 00000 ( 6.8%),"Trout River T (CSD, NL)",46800,9360,23400,37440,56160,"<= $9,360","$9,361 - $23,400","$23,401 - $37,440","$37,441 - $56,160",">= $56,161",1170,234,585,936,1404,<= $234,$235 - $585,$586 - $936,"$937 - $1,404",">= $1,405"
"Woody Point, Bonne Bay T (1009011) 00000 ( 6.0%)","Woody Point, Bonne Bay T (CSD, NL)",42400,8480,21200,33920,50880,"<= $8,480","$8,481 - $21,200","$21,201 - $33,920","$33,921 - $50,880",">= $50,881",1060,212,530,848,1272,<= $212,$213 - $530,$531 - $848,"$849 - $1,272",">= $1,273"
Norris Point T (1009012) 00000 ( 7.0%),"Norris Point T (CSD, NL)",62400,12480,31200,49920,74880,"<= $12,480","$12,481 - $31,200","$31,201 - $49,920","$49,921 - $74,880",">= $74,881",1560,312,780,1248,1872,<= $312,$313 - $780,"$781 - $1,248","$1,249 - $1,872",">= $1,873"
Rocky Harbour T (1009013) 00000 ( 6.0%),"Rocky Harbour T (CSD, NL)",56400,11280,28200,45120,67680,"<= $11,280","$11,281 - $28,200","$28,201 - $45,120","$45,121 - $67,680",">= $67,681",1410,282,705,1128,1692,<= $282,$283 - $705,"$706 - $1,128","$1,129 - $1,692",">= $1,693"
Daniel's Harbour T (1009015) 00000 ( 4.3%),"Daniel's Harbour T (CSD, NL)",70500,14100,35250,56400,84600,"<= $14,100","$14,101 - $35,250","$35,251 - $56,400","$56,401 - $84,600",">= $84,601",1763,353,881,1410,2115,<= $353,$354 - $881,"$882 - $1,410","$1,411 - $2,115",">= $2,116"
Cow Head T (1009016) 00000 ( 3.6%),"Cow Head T (CSD, NL)",56800,11360,28400,45440,68160,"<= $11,360","$11,361 - $28,400","$28,401 - $45,440","$45,441 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$285 - $710,"$711 - $1,136","$1,137 - $1,704",">= $1,705"
Parson's Pond T (1009017) 00011 ( 19.1%),"Parson's Pond T (CSD, NL)",38000,7600,19000,30400,45600,"<= $7,600","$7,601 - $19,000","$19,001 - $30,400","$30,401 - $45,600",">= $45,601",950,190,475,760,1140,<= $190,$191 - $475,$476 - $760,"$761 - $1,140",">= $1,141"
Hawke's Bay T (1009018) 00011 ( 14.3%),"Hawke's Bay T (CSD, NL)",45200,9040,22600,36160,54240,"<= $9,040","$9,041 - $22,600","$22,601 - $36,160","$36,161 - $54,240",">= $54,241",1130,226,565,904,1356,<= $226,$227 - $565,$566 - $904,"$905 - $1,356",">= $1,357"
Port Saunders T (1009019) 00000 ( 5.2%),"Port Saunders T (CSD, NL)",75500,15100,37750,60400,90600,"<= $15,100","$15,101 - $37,750","$37,751 - $60,400","$60,401 - $90,600",">= $90,601",1888,378,944,1510,2265,<= $378,$379 - $944,"$945 - $1,510","$1,511 - $2,265",">= $2,266"
"Division No. 9, Subd. C SNO (1009021) 00010 ( 10.5%)","Division No. 9, Subd. C SNO (CSD, NL)",63600,12720,31800,50880,76320,"<= $12,720","$12,721 - $31,800","$31,801 - $50,880","$50,881 - $76,320",">= $76,321",1590,318,795,1272,1908,<= $318,$319 - $795,"$796 - $1,272","$1,273 - $1,908",">= $1,909"
Port au Choix T (1009022) 00000 ( 7.4%),"Port au Choix T (CSD, NL)",57200,11440,28600,45760,68640,"<= $11,440","$11,441 - $28,600","$28,601 - $45,760","$45,761 - $68,640",">= $68,641",1430,286,715,1144,1716,<= $286,$287 - $715,"$716 - $1,144","$1,145 - $1,716",">= $1,717"
Anchor Point T (1009023) 00000 ( 3.3%),"Anchor Point T (CSD, NL)",105000,21000,52500,84000,126000,"<= $21,000","$21,001 - $52,500","$52,501 - $84,000","$84,001 - $126,000",">= $126,001",2625,525,1313,2100,3150,<= $525,"$526 - $1,313","$1,314 - $2,100","$2,101 - $3,150",">= $3,151"
St. Anthony T (1009029) 00000 ( 8.9%),"St. Anthony T (CSD, NL)",72500,14500,36250,58000,87000,"<= $14,500","$14,501 - $36,250","$36,251 - $58,000","$58,001 - $87,000",">= $87,001",1813,363,906,1450,2175,<= $363,$364 - $906,"$907 - $1,450","$1,451 - $2,175",">= $2,176"
"Division No. 9, Subd. D SNO (1009031) 00000 ( 9.3%)","Division No. 9, Subd. D SNO (CSD, NL)",51600,10320,25800,41280,61920,"<= $10,320","$10,321 - $25,800","$25,801 - $41,280","$41,281 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$259 - $645,"$646 - $1,032","$1,033 - $1,548",">= $1,549"
St. Lunaire-Griquet T (1009032) 00000 ( 7.6%),"St. Lunaire-Griquet T (CSD, NL)",69000,13800,34500,55200,82800,"<= $13,800","$13,801 - $34,500","$34,501 - $55,200","$55,201 - $82,800",">= $82,801",1725,345,863,1380,2070,<= $345,$346 - $863,"$864 - $1,380","$1,381 - $2,070",">= $2,071"
L'Anse au Loup T (1010002) 00000 ( 9.5%),"L'Anse au Loup T (CSD, NL)",104000,20800,52000,83200,124800,"<= $20,800","$20,801 - $52,000","$52,001 - $83,200","$83,201 - $124,800",">= $124,801",2600,520,1300,2080,3120,<= $520,"$521 - $1,300","$1,301 - $2,080","$2,081 - $3,120",">= $3,121"
Forteau T (1010005) 00011 ( 11.3%),"Forteau T (CSD, NL)",90000,18000,45000,72000,108000,"<= $18,000","$18,001 - $45,000","$45,001 - $72,000","$72,001 - $108,000",">= $108,001",2250,450,1125,1800,2700,<= $450,"$451 - $1,125","$1,126 - $1,800","$1,801 - $2,700",">= $2,701"
"Division No. 10, Subd. B SNO (1010008) 00101 ( 8.3%)","Division No. 10, Subd. B SNO (CSD, NL)",65000,13000,32500,52000,78000,"<= $13,000","$13,001 - $32,500","$32,501 - $52,000","$52,001 - $78,000",">= $78,001",1625,325,813,1300,1950,<= $325,$326 - $813,"$814 - $1,300","$1,301 - $1,950",">= $1,951"
Port Hope Simpson T (1010009) 00000 ( 3.3%),"Port Hope Simpson T (CSD, NL)",83000,16600,41500,66400,99600,"<= $16,600","$16,601 - $41,500","$41,501 - $66,400","$66,401 - $99,600",">= $99,601",2075,415,1038,1660,2490,<= $415,"$416 - $1,038","$1,039 - $1,660","$1,661 - $2,490",">= $2,491"
Mary's Harbour T (1010011) 00000 ( 2.2%),"Mary's Harbour T (CSD, NL)",81000,16200,40500,64800,97200,"<= $16,200","$16,201 - $40,500","$40,501 - $64,800","$64,801 - $97,200",">= $97,201",2025,405,1013,1620,2430,<= $405,"$406 - $1,013","$1,014 - $1,620","$1,621 - $2,430",">= $2,431"
"Cartwright, Labrador T (1010012) 00000 ( 1.2%)","Cartwright, Labrador T (CSD, NL)",60800,12160,30400,48640,72960,"<= $12,160","$12,161 - $30,400","$30,401 - $48,640","$48,641 - $72,960",">= $72,961",1520,304,760,1216,1824,<= $304,$305 - $760,"$761 - $1,216","$1,217 - $1,824",">= $1,825"
Charlottetown (Labrador) T (1010013) 00000 ( 6.7%),"Charlottetown (CSD, NL)",86000,17200,43000,68800,103200,"<= $17,200","$17,201 - $43,000","$43,001 - $68,800","$68,801 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$431 - $1,075","$1,076 - $1,720","$1,721 - $2,580",">= $2,581"
"Division No. 10, Subd. C SNO (1010020) 00101 ( 8.5%)","Division No. 10, Subd. C SNO (CSD, NL)",95000,19000,47500,76000,114000,"<= $19,000","$19,001 - $47,500","$47,501 - $76,000","$76,001 - $114,000",">= $114,001",2375,475,1188,1900,2850,<= $475,"$476 - $1,188","$1,189 - $1,900","$1,901 - $2,850",">= $2,851"
North West River T (1010022) 00000 ( 4.0%),"North West River T (CSD, NL)",92000,18400,46000,73600,110400,"<= $18,400","$18,401 - $46,000","$46,001 - $73,600","$73,601 - $110,400",">= $110,401",2300,460,1150,1840,2760,<= $460,"$461 - $1,150","$1,151 - $1,840","$1,841 - $2,760",">= $2,761"
Happy Valley-Goose Bay T (1010025) 00000 ( 6.3%),"Happy Valley-Goose Bay T (CSD, NL)",112000,22400,56000,89600,134400,"<= $22,400","$22,401 - $56,000","$56,001 - $89,600","$89,601 - $134,400",">= $134,401",2800,560,1400,2240,3360,<= $560,"$561 - $1,400","$1,401 - $2,240","$2,241 - $3,360",">= $3,361"
"Division No. 10, Subd. D SNO (1010029) 00000 ( 4.5%)","Division No. 10, Subd. D SNO (CSD, NL)",170000,34000,85000,136000,204000,"<= $34,000","$34,001 - $85,000","$85,001 - $136,000","$136,001 - $204,000",">= $204,001",4250,850,2125,3400,5100,<= $850,"$851 - $2,125","$2,126 - $3,400","$3,401 - $5,100",">= $5,101"
Labrador City T (1010032) 00000 ( 3.2%),"Labrador City T (CSD, NL)",125000,25000,62500,100000,150000,"<= $25,000","$25,001 - $62,500","$62,501 - $100,000","$100,001 - $150,000",">= $150,001",3125,625,1563,2500,3750,<= $625,"$626 - $1,563","$1,564 - $2,500","$2,501 - $3,750",">= $3,751"
Wabush T (1010034) 00000 ( 4.6%),"Wabush T (CSD, NL)",127000,25400,63500,101600,152400,"<= $25,400","$25,401 - $63,500","$63,501 - $101,600","$101,601 - $152,400",">= $152,401",3175,635,1588,2540,3810,<= $635,"$636 - $1,588","$1,589 - $2,540","$2,541 - $3,810",">= $3,811"
Rigolet T (1011010) 00101 ( 8.3%),"Rigolet T (CSD, NL)",68000,13600,34000,54400,81600,"<= $13,600","$13,601 - $34,000","$34,001 - $54,400","$54,401 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$341 - $850,"$851 - $1,360","$1,361 - $2,040",">= $2,041"
Makkovik T (1011020) 00101 ( 7.1%),"Makkovik T (CSD, NL)",70500,14100,35250,56400,84600,"<= $14,100","$14,101 - $35,250","$35,251 - $56,400","$56,401 - $84,600",">= $84,601",1763,353,881,1410,2115,<= $353,$354 - $881,"$882 - $1,410","$1,411 - $2,115",">= $2,116"
Hopedale T (1011030) 02323 ( 26.0%),"Hopedale T (CSD, NL)",66500,13300,33250,53200,79800,"<= $13,300","$13,301 - $33,250","$33,251 - $53,200","$53,201 - $79,800",">= $79,801",1663,333,831,1330,1995,<= $333,$334 - $831,"$832 - $1,330","$1,331 - $1,995",">= $1,996"
Nain T (1011035) 01212 ( 14.2%),"Nain T (CSD, NL)",75000,15000,37500,60000,90000,"<= $15,000","$15,001 - $37,500","$37,501 - $60,000","$60,001 - $90,000",">= $90,001",1875,375,938,1500,2250,<= $375,$376 - $938,"$939 - $1,500","$1,501 - $2,250",">= $2,251"
Lot 64 LOT (1101001) 00111 ( 12.2%),"Lot 64 LOT (CSD, PEI)",67000,13400,33500,53600,80400,"<= $13,400","$13,401 - $33,500","$33,501 - $53,600","$53,601 - $80,400",">= $80,401",1675,335,838,1340,2010,<= $335,$336 - $838,"$839 - $1,340","$1,341 - $2,010",">= $2,011"
Murray Harbour COM (1101002) 00000 ( 3.7%),"Murray Harbour COM (CSD, PEI)",45200,9040,22600,36160,54240,"<= $9,040","$9,041 - $22,600","$22,601 - $36,160","$36,161 - $54,240",">= $54,241",1130,226,565,904,1356,<= $226,$227 - $565,$566 - $904,"$905 - $1,356",">= $1,357"
Murray River COM (1101004) 00000 ( 7.1%),"Murray River COM (CSD, PEI)",65000,13000,32500,52000,78000,"<= $13,000","$13,001 - $32,500","$32,501 - $52,000","$52,001 - $78,000",">= $78,001",1625,325,813,1300,1950,<= $325,$326 - $813,"$814 - $1,300","$1,301 - $1,950",">= $1,951"
